date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:25	200/200	---M-Z	200	added ('OK')	text/plain	etag:%22ca1c37-17e-5ed7c150fafe3-gzip%22	https://www.hotelans.co.in/robots.txt		(from )
17:23:26	106306/106306	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202023%2011:53:22%20GMT	https://www.hotelans.co.in/	D:/Hotelans/hotelans/www.hotelans.co.in/index.html	(from )
17:23:26	7397/7397	---M--	200	added ('OK')	image/png	etag:%2211601d6-1ce5-5e1db68299c62%22	https://www.hotelans.co.in/wp-content/uploads/2022/06/HomePage-Hero-Shape.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/2022/06/HomePage-Hero-Shape.png	(from https://www.hotelans.co.in/)
17:23:26	73000/73000	---M-Z	200	added ('OK')	text/css	etag:%2212e0d7d-11d28-5fe31e1f711aa-gzip%22	https://www.hotelans.co.in/wp-content/themes/hestia/assets/bootstrap/css/bootstrap.min.css?ver=1.0.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/themes/hestia/assets/bootstrap/css/bootstrap.min20b9.css	(from https://www.hotelans.co.in/)
17:23:26	3896/3896	---M-Z	200	added ('OK')	text/css	etag:%2212e0d85-f38-5fe31e1f71592-gzip%22	https://www.hotelans.co.in/wp-content/themes/hestia/assets/css/font-sizes.min.css?ver=3.0.30	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/themes/hestia/assets/css/font-sizes.min63c4.css	(from https://www.hotelans.co.in/)
17:23:28	97517/97517	---M-Z	200	added ('OK')	text/css	etag:%22140488e-17ced-5f680c224ed40-gzip%22	https://www.hotelans.co.in/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/css/dist/block-library/style.min3781.css	(from https://www.hotelans.co.in/)
17:23:28	1097/1097	---M-Z	200	added ('OK')	application/rss+xml	etag:%22902ee0a34e82fd7c97cb53eaa60fcfdc-gzip%22	https://www.hotelans.co.in/feed/	D:/Hotelans/hotelans/www.hotelans.co.in/feed/index.html	(from https://www.hotelans.co.in/)
17:23:29	757/757	---M-Z	200	added ('OK')	application/rss+xml	etag:%22902ee0a34e82fd7c97cb53eaa60fcfdc-gzip%22	https://www.hotelans.co.in/comments/feed/	D:/Hotelans/hotelans/www.hotelans.co.in/comments/feed/index.html	(from https://www.hotelans.co.in/)
17:23:29	291/291	---M-Z	200	added ('OK')	text/css	etag:%221404864-123-5f49afeb578c0-gzip%22	https://www.hotelans.co.in/wp-includes/css/classic-themes.min.css?ver=6.2.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/css/classic-themes.min3781.css	(from https://www.hotelans.co.in/)
17:23:30	23729/23729	---M-Z	200	added ('OK')	text/css	etag:%221180a81-5cb1-5feb4a2a7eca5-gzip%22	https://www.hotelans.co.in/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.1.21657522267	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/chaty/css/chaty-front.minec6f.css	(from https://www.hotelans.co.in/)
